gen,S,B,W,label,compile_s,llvm_s,llvm_pct,runtime_us,reps,chk
blocks,16000,40,8,agg,1.227,0.428,34.9,2.07,10000,true
blocks,16000,40,8,scalar,1.244,0.396,31.8,2.23,10000,true
blocks,64000,40,8,agg,5.341,1.801,33.7,8.30,10000,true
blocks,64000,40,8,scalar,5.294,1.602,30.3,8.19,10000,true
blocks,128000,40,8,agg,10.503,3.414,32.5,15.68,10000,true
blocks,128000,40,8,scalar,11.434,3.429,30.0,17.22,10000,true
blocks,256000,40,8,agg,22.421,6.841,30.5,49.50,4705,true
blocks,256000,40,8,scalar,23.146,6.501,28.1,61.33,3870,true
straight,65536,0,8,agg,2.921,1.062,36.3,7.98,10000,true
straight,65536,0,8,scalar,3.270,0.845,25.8,8.03,10000,true
calls,16384,0,8,agg,1.495,0.352,23.5,124.71,1741,true
calls,16384,0,8,scalar,1.645,0.388,23.6,111.99,1838,true
