gen,S,B,W,label,compile_s,llvm_s,llvm_pct,runtime_us,reps,chk
straight,1000,0,8,off,0.044,0.028,63.8,0.28,10000,true
straight,1000,0,8,on,0.043,0.026,60.6,0.28,10000,true
straight,2000,0,8,off,0.088,0.045,51.4,0.50,10000,true
straight,2000,0,8,on,0.076,0.032,42.1,0.38,10000,true
straight,4000,0,8,off,0.216,0.099,45.7,0.90,10000,true
straight,4000,0,8,on,0.158,0.050,31.8,0.63,10000,true
straight,8000,0,8,off,0.557,0.269,48.3,1.74,10000,true
straight,8000,0,8,on,0.395,0.114,28.9,1.34,10000,true
straight,16000,0,8,off,1.702,0.857,50.4,3.41,10000,true
straight,16000,0,8,on,0.719,0.189,26.3,2.08,10000,true
straight,32000,0,8,off,6.135,3.213,52.4,8.01,10000,true
straight,32000,0,8,on,1.416,0.368,26.0,3.95,10000,true
straight,64000,0,8,off,34.036,24.145,70.9,13.41,10000,true
straight,64000,0,8,on,2.988,0.765,25.6,7.88,10000,true
straight,128000,0,8,off,240.153,199.440,83.0,26.49,10000,true
straight,128000,0,8,on,6.046,1.457,24.1,15.69,10000,true
calls,250,0,8,off,0.031,0.018,57.9,1.05,10000,true
calls,250,0,8,on,0.028,0.019,68.5,1.06,10000,true
calls,500,0,8,off,0.054,0.023,42.8,1.98,10000,true
calls,500,0,8,on,0.060,0.027,45.4,2.45,10000,true
calls,1000,0,8,off,0.118,0.034,28.8,4.08,10000,true
calls,1000,0,8,on,0.099,0.036,36.8,3.91,10000,true
calls,2000,0,8,off,0.327,0.063,19.2,8.86,10000,true
calls,2000,0,8,on,0.197,0.061,30.7,16.74,5,true
calls,4000,0,8,off,1.095,0.142,13.0,17.38,10000,true
calls,4000,0,8,on,0.377,0.101,26.7,18.74,10000,true
calls,8000,0,8,off,4.089,0.408,10.0,36.31,5694,true
calls,8000,0,8,on,0.725,0.176,24.3,33.21,5759,true
calls,16000,0,8,off,19.577,1.455,7.4,108.29,1958,true
calls,16000,0,8,on,1.509,0.360,23.8,109.09,2018,true
calls,32000,0,8,off,102.011,5.484,5.4,278.04,807,true
calls,32000,0,8,on,3.072,0.711,23.1,285.51,795,true
blocks,4000,40,8,off,0.188,0.080,42.8,0.42,10000,true
blocks,4000,40,8,on,0.334,0.123,36.9,0.65,10000,true
blocks,16000,40,8,off,1.004,0.350,34.8,1.40,10000,true
blocks,16000,40,8,on,1.238,0.402,32.4,2.18,10000,true
blocks,64000,40,8,off,5.889,2.088,35.5,4.27,10000,true
blocks,64000,40,8,on,5.063,1.558,30.8,8.09,10000,true
blocks,128000,40,8,off,18.057,6.686,37.0,8.50,10000,true
blocks,128000,40,8,on,10.069,2.942,29.2,16.63,10000,true
blocks,256000,40,8,off,71.985,22.717,31.6,17.09,10000,true
blocks,256000,40,8,on,21.877,6.236,28.5,62.21,3909,true
calls,1000,40,8,off,0.098,0.037,38.3,4.09,10000,true
calls,1000,40,8,on,0.109,0.042,38.6,4.61,10000,true
calls,4000,40,8,off,0.402,0.101,25.1,17.01,10000,true
calls,4000,40,8,on,0.413,0.125,30.2,16.48,10000,true
calls,16000,40,8,off,2.507,0.423,16.9,121.06,1706,true
calls,16000,40,8,on,1.654,0.448,27.1,119.25,1879,true
calls,32000,40,8,off,7.058,0.870,12.3,299.95,707,true
calls,32000,40,8,on,3.374,0.906,26.9,307.24,708,true
straight,65536,0,8,chunk100,4.297,1.168,27.2,10.59,10000,true
calls,16384,0,8,chunk100,1.536,0.421,27.4,119.97,1796,true
straight,65536,0,8,chunk200,3.433,0.888,25.9,8.58,10000,true
calls,16384,0,8,chunk200,1.468,0.380,25.9,116.84,1821,true
straight,65536,0,8,chunk400,3.097,0.784,25.3,8.04,10000,true
calls,16384,0,8,chunk400,1.553,0.364,23.4,112.33,1900,true
straight,65536,0,8,chunk800,2.992,0.728,24.3,8.21,10000,true
calls,16384,0,8,chunk800,1.740,0.345,19.8,112.49,1899,true
straight,65536,0,8,chunk1600,3.027,0.687,22.7,9.94,10000,true
calls,16384,0,8,chunk1600,2.341,0.377,16.1,110.01,2010,true
straight,65536,0,8,chunk3200,3.461,0.800,23.1,13.71,10000,true
calls,16384,0,8,chunk3200,4.146,0.532,12.8,113.77,1874,true
calls,16384,0,2,woff,2.652,1.585,59.8,123.11,1704,true
calls,16384,0,2,won,1.234,0.401,32.5,120.90,1759,true
calls,16384,0,8,woff,22.588,1.575,7.0,109.07,1902,true
calls,16384,0,8,won,1.576,0.372,23.6,115.91,1641,true
calls,16384,0,32,woff,6.816,1.629,23.9,119.98,1738,true
calls,16384,0,32,won,1.697,0.507,29.9,118.90,1801,true
calls,16384,0,128,woff,4.650,1.863,40.1,109.70,1481,true
calls,16384,0,128,won,2.538,1.008,39.7,122.37,1725,true
straight,131072,0,8,grp8,6.528,1.649,25.3,15.98,10000,true
straight,131072,0,8,grp24,6.482,1.608,24.8,15.99,10000,true
straight,131072,0,8,grp64,6.203,1.388,22.4,15.98,10000,true
