gen,S,B,W,label,compile_s,llvm_s,llvm_pct,runtime_us,reps,ns_per_op,chk
straight,2000,0,8,off,0.091,0.048,53.2,0.49,10000,0.246,true
straight,2000,0,8,on,0.078,0.042,53.7,0.40,10000,0.200,true
straight,8000,0,8,off,0.645,0.320,49.6,1.92,10000,0.240,true
straight,8000,0,8,on,0.322,0.125,38.8,1.11,10000,0.139,true
straight,32000,0,8,off,6.417,3.531,55.0,6.88,10000,0.215,true
straight,32000,0,8,on,1.322,0.486,36.8,3.96,10000,0.124,true
calls,500,0,8,off,0.058,0.026,44.0,2.00,10000,4.000,true
calls,500,0,8,on,0.056,0.025,44.3,1.98,10000,3.968,true
calls,2000,0,8,off,0.343,0.066,19.1,8.99,10000,4.495,true
calls,2000,0,8,on,0.186,0.056,29.9,8.31,10000,4.154,true
calls,8000,0,8,off,4.555,0.401,8.8,39.63,5318,4.954,true
calls,8000,0,8,on,0.778,0.193,24.8,35.45,5763,4.432,true
arrays,8000,0,8,off,2.501,1.468,58.7,1.30,10000,0.162,true
arrays,8000,0,8,on,1.177,0.308,26.1,1.10,10000,0.138,true
arrays,32000,0,8,off,12.773,5.796,45.4,4.21,10000,0.131,true
arrays,32000,0,8,on,6.782,1.299,19.2,3.96,10000,0.124,true
blocks,16000,40,8,off,0.871,0.301,34.6,1.19,10000,0.148,true
blocks,16000,40,8,on,1.006,0.359,35.7,1.71,10000,0.214,true
blocks,64000,40,8,off,6.118,2.063,33.7,4.45,10000,0.139,true
blocks,64000,40,8,on,4.339,1.435,33.1,6.21,10000,0.194,true
calls,4000,40,8,off,0.473,0.116,24.6,19.88,9713,4.971,true
calls,4000,40,8,on,0.450,0.140,31.1,17.81,10000,4.453,true
calls,16000,40,8,off,2.572,0.387,15.1,130.55,1720,8.159,true
calls,16000,40,8,on,1.770,0.488,27.6,116.20,1864,7.263,true
straight,65536,0,8,chunk200,3.439,1.254,36.5,8.02,10000,0.122,true
calls,16384,0,8,chunk200,1.398,0.359,25.7,112.89,1939,6.890,true
arrays,65536,0,8,chunk200,19.773,2.833,14.3,9.24,10000,0.141,true
straight,65536,0,8,chunk400,2.900,1.001,34.5,8.18,10000,0.125,true
calls,16384,0,8,chunk400,1.661,0.391,23.6,119.11,1800,7.270,true
arrays,65536,0,8,chunk400,19.202,2.490,13.0,8.63,10000,0.132,true
straight,65536,0,8,chunk1600,2.845,1.093,38.4,7.23,10000,0.110,true
calls,16384,0,8,chunk1600,2.764,0.472,17.1,127.22,1645,7.765,true
arrays,65536,0,8,chunk1600,19.028,2.597,13.6,8.72,10000,0.133,true
straight,65536,0,8,chunk3200,3.027,1.084,35.8,7.78,10000,0.119,true
calls,16384,0,8,chunk3200,3.995,0.466,11.7,124.06,1742,7.572,true
arrays,65536,0,8,chunk3200,19.979,3.157,15.8,8.29,10000,0.127,true
calls,16384,0,128,won,2.246,0.775,34.5,134.42,1537,8.204,true
