gen,S,B,W,label,compile_s,llvm_s,llvm_pct,runtime_us,reps,ns_per_op,chk
straight,1000,0,8,off-r1,0.076,0.045,59.4,0.44,10000,0.436,true
straight,1000,0,8,off-r2,0.066,0.047,70.5,0.43,10000,0.433,true
straight,1000,0,8,off-r3,0.062,0.044,70.3,0.44,10000,0.436,true
straight,1000,0,8,on-r1,0.061,0.041,67.3,0.40,10000,0.401,true
straight,1000,0,8,on-r2,0.073,0.046,62.8,0.40,10000,0.402,true
straight,1000,0,8,on-r3,0.070,0.047,66.4,0.40,10000,0.399,true
straight,2000,0,8,off-r1,0.148,0.077,51.8,0.77,10000,0.384,true
straight,2000,0,8,off-r2,0.144,0.086,59.9,0.77,10000,0.385,true
straight,2000,0,8,off-r3,0.132,0.069,52.4,0.77,10000,0.384,true
straight,2000,0,8,on-r1,0.107,0.059,55.3,0.58,10000,0.289,true
straight,2000,0,8,on-r2,0.112,0.062,55.2,0.58,10000,0.289,true
straight,2000,0,8,on-r3,0.111,0.059,52.6,0.58,10000,0.288,true
straight,4000,0,8,off-r1,0.320,0.154,48.3,1.44,10000,0.361,true
straight,4000,0,8,off-r2,0.323,0.155,47.9,1.44,10000,0.360,true
straight,4000,0,8,off-r3,0.328,0.157,47.9,1.44,10000,0.360,true
straight,4000,0,8,on-r1,0.221,0.100,45.3,0.93,10000,0.233,true
straight,4000,0,8,on-r2,0.229,0.099,43.3,0.93,10000,0.233,true
straight,4000,0,8,on-r3,0.228,0.101,44.4,0.93,10000,0.233,true
straight,8000,0,8,off-r1,0.969,0.443,45.7,2.77,10000,0.346,true
straight,8000,0,8,off-r2,0.958,0.439,45.9,2.77,10000,0.346,true
straight,8000,0,8,off-r3,0.924,0.453,49.0,2.77,10000,0.346,true
straight,8000,0,8,on-r1,0.471,0.182,38.7,1.65,10000,0.206,true
straight,8000,0,8,on-r2,0.468,0.184,39.4,1.66,10000,0.207,true
straight,8000,0,8,on-r3,0.488,0.186,38.0,1.65,10000,0.206,true
straight,16000,0,8,off-r1,2.827,1.392,49.2,5.44,10000,0.340,true
straight,16000,0,8,off-r2,2.857,1.422,49.8,5.41,10000,0.338,true
straight,16000,0,8,off-r3,2.872,1.437,50.1,5.42,10000,0.339,true
straight,16000,0,8,on-r1,1.022,0.380,37.2,3.03,10000,0.190,true
straight,16000,0,8,on-r2,0.984,0.352,35.8,3.07,10000,0.192,true
straight,16000,0,8,on-r3,0.963,0.354,36.7,3.03,10000,0.190,true
straight,32000,0,8,off-r1,10.351,5.160,49.8,10.77,10000,0.337,true
straight,32000,0,8,off-r2,10.260,5.317,51.8,10.76,10000,0.336,true
straight,32000,0,8,off-r3,10.402,5.191,49.9,10.76,10000,0.336,true
straight,32000,0,8,on-r1,2.009,0.709,35.3,5.88,10000,0.184,true
straight,32000,0,8,on-r2,2.008,0.714,35.6,5.88,10000,0.184,true
straight,32000,0,8,on-r3,2.040,0.727,35.6,5.88,10000,0.184,true
straight,64000,0,8,off-r1,54.891,38.955,71.0,18.46,10000,0.288,true
straight,64000,0,8,off-r2,60.507,43.478,71.9,21.82,10000,0.341,true
straight,64000,0,8,off-r3,57.923,39.609,68.4,20.85,10000,0.326,true
straight,64000,0,8,on-r1,4.085,1.320,32.3,11.57,10000,0.181,true
straight,64000,0,8,on-r2,4.049,1.460,36.0,11.16,10000,0.174,true
straight,64000,0,8,on-r3,4.206,1.630,38.8,9.12,10000,0.143,true
