gen,S,B,W,label,compile_s,llvm_s,llvm_pct,runtime_us,reps,chk
blocks,64000,40,8,c400,4.651,1.565,33.6,7.03,10000,true
blocks,64000,40,8,c1600,3.715,1.204,32.4,6.01,10000,true
blocks,64000,40,8,c3200,3.549,1.202,33.9,4.59,10000,true
blocks,64000,40,8,c6400,3.722,1.190,32.0,4.37,10000,true
blocks,64000,40,8,c12800,3.809,1.223,32.1,4.35,10000,true
blocks,64000,40,8,c25600,3.257,1.049,32.2,4.24,10000,true
blocks,64000,40,8,c64000,6.009,2.332,38.8,4.15,10000,true
blocks,256000,40,8,c1600,14.869,4.316,29.0,19.73,10000,true
blocks,256000,40,8,c3200,15.008,4.224,28.1,18.05,10000,true
blocks,256000,40,8,c6400,16.866,4.775,28.3,17.64,10000,true
blocks,256000,40,8,c12800,17.370,4.906,28.2,17.08,10000,true
blocks,256000,40,8,c25600,15.626,4.420,28.3,16.52,10000,true
