shape,N,label,compile_s,llvm_s,llvm_pct,runtime_us,reps,ok
float,6,off,0.112,0.056,50.2,0.6,500,true
dual,6,off,0.351,0.128,36.3,0.9,500,true
tracked,6,off,1.431,0.445,31.1,224.4,500,true
tracked_stock,6,off,16.712,11.259,67.4,382.2,438,true
float,6,std,0.114,0.057,50.3,0.6,500,true
dual,6,std,0.390,0.115,29.5,0.9,500,true
tracked,6,std,1.261,0.397,31.5,222.9,500,true
tracked_stock,6,std,9.050,4.709,52.0,432.4,472,true
float,10,off,0.360,0.181,50.4,0.7,500,true
dual,10,off,0.859,0.334,38.8,2.0,500,true
tracked,10,off,4.206,1.370,32.6,631.8,247,true
tracked_stock,10,off,107.270,78.882,73.5,1378.4,96,true
float,10,std,0.354,0.136,38.5,1.5,500,true
dual,10,std,1.005,0.345,34.3,3.4,500,true
tracked,10,std,2.902,1.044,36.0,649.3,226,true
tracked_stock,10,std,27.036,13.384,49.5,1239.2,126,true
float,14,off,0.832,0.395,47.4,2.0,500,true
dual,14,off,1.800,0.646,35.9,3.6,500,true
tracked,14,off,10.676,3.365,31.5,1397.6,125,true
tracked_stock,14,off,363.314,281.083,77.4,2364.0,81,true
float,14,std,0.661,0.223,33.8,2.3,500,true
dual,14,std,1.461,0.507,34.7,4.0,500,true
tracked,14,std,4.605,1.704,37.0,1373.1,131,true
tracked_stock,14,std,51.578,26.803,52.0,2329.8,86,true
float,20,off,1.756,0.787,44.8,2.9,500,true
dual,20,off,4.703,1.622,34.5,7.6,500,true
tracked,20,off,44.087,15.925,36.1,2931.9,64,true
