gen,S,B,W,label,compile_s,llvm_s,llvm_pct,runtime_us,reps,ns_per_op,chk
straight,65536,0,8,anchor-start,3.254,1.093,33.6,7.91,10000,0.121,true
calls,16384,0,8,anchor-start,1.630,0.385,23.6,118.34,1689,7.223,true
blocks,64000,40,8,anchor-start-off,6.564,2.321,35.4,4.42,10000,0.138,true
blocks,64000,40,8,off-r1,6.405,2.286,35.7,4.42,10000,0.138,true
blocks,64000,40,8,c400-r1,4.201,1.431,34.1,6.33,10000,0.198,true
blocks,64000,40,8,c800-r1,3.701,1.212,32.7,5.23,10000,0.163,true
blocks,64000,40,8,c1600-r1,3.712,1.214,32.7,4.86,10000,0.152,true
blocks,64000,40,8,c3200-r1,3.598,1.167,32.4,4.64,10000,0.145,true
blocks,64000,40,8,c6400-r1,3.508,1.077,30.7,4.50,10000,0.141,true
blocks,64000,40,8,off-r2,6.323,2.253,35.6,4.42,10000,0.138,true
blocks,64000,40,8,c400-r2,4.182,1.406,33.6,6.06,10000,0.189,true
blocks,64000,40,8,c800-r2,3.674,1.190,32.4,5.42,10000,0.169,true
blocks,64000,40,8,c1600-r2,3.728,1.175,31.5,4.97,10000,0.155,true
blocks,64000,40,8,c3200-r2,3.627,1.152,31.8,4.64,10000,0.145,true
blocks,64000,40,8,c6400-r2,3.451,1.060,30.7,4.60,10000,0.144,true
blocks,64000,40,8,off-r3,6.373,2.277,35.7,4.42,10000,0.138,true
blocks,64000,40,8,c400-r3,4.191,1.407,33.6,6.34,10000,0.198,true
blocks,64000,40,8,c800-r3,3.843,1.237,32.2,5.25,10000,0.164,true
blocks,64000,40,8,c1600-r3,5.063,1.671,33.0,7.14,10000,0.223,true
blocks,64000,40,8,c3200-r3,4.888,1.604,32.8,6.78,10000,0.212,true
blocks,64000,40,8,c6400-r3,4.798,1.527,31.8,6.64,10000,0.207,true
straight,65536,0,8,anchor-mid,4.216,1.467,34.8,11.67,10000,0.178,true
calls,16384,0,8,anchor-mid,2.288,0.541,23.6,179.43,1013,10.951,true
blocks,64000,40,8,anchor-mid-off,9.173,3.268,35.6,6.49,10000,0.203,true
blocks,256000,40,8,off256-r1,132.386,37.040,28.0,25.31,9181,0.198,true
blocks,256000,40,8,c400-256-r1,24.847,6.990,28.1,34.29,6694,0.268,true
blocks,256000,40,8,c1600-256-r1,22.785,6.370,28.0,27.94,8411,0.218,true
blocks,256000,40,8,off256-r2,126.106,39.277,31.1,25.29,9691,0.198,true
blocks,256000,40,8,c400-256-r2,25.652,7.817,30.5,34.41,6787,0.269,true
blocks,256000,40,8,c1600-256-r2,21.373,6.005,28.1,27.96,8086,0.218,true
straight,65536,0,8,anchor-end,3.654,1.211,33.2,9.42,10000,0.144,true
calls,16384,0,8,anchor-end,2.182,0.523,24.0,178.01,1083,10.865,true
blocks,64000,40,8,anchor-end-off,8.871,3.109,35.0,5.34,10000,0.167,true
