shape,N,label,compile_s,llvm_s,llvm_pct,runtime_us,reps,ok
float,6,off,0.107,0.054,50.8,0.5,500,true
dual,6,off,0.355,0.128,36.1,0.5,500,true
tracked,6,off,1.440,0.446,31.0,224.8,500,true
tracked_stock,6,off,16.535,11.419,69.1,353.3,500,true
float,6,on,0.111,0.056,50.9,0.6,500,true
dual,6,on,0.359,0.131,36.3,0.8,500,true
tracked,6,on,1.350,0.423,31.3,242.8,500,true
tracked_stock,6,on,8.049,3.841,47.7,389.6,464,true
float,10,off,0.363,0.185,51.0,0.8,500,true
dual,10,off,0.899,0.350,39.0,2.2,500,true
tracked,10,off,3.905,1.291,33.1,673.2,269,true
tracked_stock,10,off,94.460,69.605,73.7,1129.6,148,true
float,10,on,0.379,0.193,50.9,1.2,500,true
dual,10,on,0.782,0.296,37.9,1.9,500,true
tracked,10,on,2.568,0.938,36.5,646.9,288,true
tracked_stock,10,on,24.911,12.550,50.4,1165.5,146,true
float,14,off,0.791,0.387,48.8,1.4,500,true
dual,14,off,1.824,0.660,36.2,4.0,500,true
tracked,14,off,10.898,3.484,32.0,1392.2,134,true
float,14,on,0.626,0.210,33.6,1.4,500,true
dual,14,on,1.332,0.453,34.0,3.6,500,true
tracked,14,on,4.879,1.849,37.9,1361.9,144,true
tracked_stock,14,on,51.358,26.639,51.9,2387.7,78,true
float,20,off,1.714,0.747,43.6,2.7,500,true
dual,20,off,4.200,1.375,32.7,8.2,500,true
tracked,20,off,42.845,15.299,35.7,3075.9,58,true
float,20,on,1.553,0.544,35.0,3.4,500,true
dual,20,on,2.970,0.999,33.6,5.4,500,true
tracked,20,on,9.044,3.508,38.8,2696.2,62,true
tracked_stock,20,on,116.257,62.031,53.4,5181.4,40,true
mtk_guard,4,off,72.467993188,,,,,true
mtk_guard,4,on,72.599193580,,,,,true
