shape,N,label,compile_s,llvm_s,llvm_pct,runtime_us,reps,ok
float,6,off,0.109,0.055,50.3,0.5,500,true
dual,6,off,0.358,0.129,35.9,0.5,500,true
tracked,6,off,1.452,0.455,31.3,221.7,500,true
tracked_stock,6,off,16.813,11.598,69.0,358.3,500,true
float,6,on,0.109,0.055,50.4,0.3,500,true
dual,6,on,0.362,0.131,36.2,0.6,500,true
tracked,6,on,1.291,0.415,32.1,221.9,500,true
tracked_stock,6,on,7.971,3.931,49.3,371.6,465,true
float,10,off,0.389,0.204,52.4,0.8,500,true
dual,10,off,0.960,0.381,39.7,1.6,500,true
tracked,10,off,4.149,1.409,34.0,672.8,254,true
tracked_stock,10,off,99.328,71.875,72.4,1190.6,139,true
float,10,on,0.399,0.200,50.1,1.0,500,true
dual,10,on,0.737,0.250,34.0,1.6,500,true
tracked,10,on,2.804,1.058,37.7,653.9,254,true
tracked_stock,10,on,25.531,13.217,51.8,1119.9,158,true
float,14,off,0.820,0.399,48.7,1.3,500,true
dual,14,off,1.933,0.729,37.7,5.8,500,true
tracked,14,off,11.575,3.839,33.2,1395.9,136,true
float,14,on,0.626,0.216,34.5,1.3,500,true
dual,14,on,1.358,0.455,33.5,3.3,500,true
tracked,14,on,5.010,1.874,37.4,1299.8,131,true
tracked_stock,14,on,58.469,28.138,48.1,2634.9,59,true
float,20,off,1.873,0.835,44.6,3.1,500,true
dual,20,off,4.541,1.569,34.5,9.5,500,true
tracked,20,off,45.785,17.107,37.4,2765.0,58,true
float,20,on,1.361,0.466,34.3,2.8,500,true
dual,20,on,2.904,0.980,33.7,5.1,500,true
tracked,20,on,9.258,3.657,39.5,2865.8,69,true
tracked_stock,20,on,121.040,65.072,53.8,5269.7,42,true
mtk_guard,4,off,70.542258453,,,,,true
mtk_guard,4,on,66.938887863,,,,,true
