shape,N,label,compile_s,llvm_s,llvm_pct,runtime_us,reps,ok
float,6,off,0.124,0.062,50.6,0.6,500,true
dual,6,off,0.383,0.140,36.4,0.6,500,true
tracked,6,off,1.579,0.494,31.3,239.5,500,true
tracked_stock,6,off,18.451,12.766,69.2,382.4,414,true
float,6,on,0.128,0.067,52.3,0.5,500,true
dual,6,on,0.402,0.147,36.5,0.6,500,true
tracked,6,on,1.378,0.444,32.2,239.9,500,true
tracked_stock,6,on,9.374,4.517,48.2,412.2,441,true
float,10,off,0.413,0.210,50.8,1.3,500,true
dual,10,off,0.949,0.373,39.3,1.8,500,true
tracked,10,off,4.381,1.448,33.1,720.3,241,true
tracked_stock,10,off,116.920,87.255,74.6,1197.6,133,true
float,10,on,0.412,0.212,51.4,1.2,500,true
dual,10,on,0.754,0.261,34.5,1.8,500,true
tracked,10,on,2.938,1.096,37.3,701.2,234,true
tracked_stock,10,on,29.046,14.808,51.0,1325.8,136,true
float,14,off,0.996,0.486,48.8,3.0,500,true
dual,14,off,2.188,0.810,37.0,5.3,500,true
tracked,14,off,13.564,4.563,33.6,1525.5,133,true
float,14,on,0.732,0.251,34.3,2.6,500,true
dual,14,on,1.506,0.504,33.5,5.2,500,true
tracked,14,on,5.593,2.185,39.1,1461.6,116,true
tracked_stock,14,on,66.236,38.190,57.7,2581.3,76,true
float,20,off,1.913,0.830,43.4,2.8,500,true
dual,20,off,4.836,1.583,32.7,7.3,500,true
tracked,20,off,47.155,16.744,35.5,3049.2,64,true
float,20,on,1.468,0.503,34.2,3.2,500,true
dual,20,on,3.181,1.081,34.0,5.2,500,true
tracked,20,on,10.035,3.948,39.3,3055.9,62,true
tracked_stock,20,on,137.998,72.016,52.2,6180.5,31,true
mtk_guard,4,off,74.606658566,,,,,true
mtk_guard,4,on,73.442755737,,,,,true
